bill_id,bill_type,title,sponsor_id,congress,chamber,active,house_passage,senate_passage,enacted,cosponsors_by_party,cosponsors
s1683-113,s,"A bill to provide for the transfer of naval vessels to certain foreign recipients, and for other purposes.",M000639,113,house,True,2014-12-10,2014-12-04,2014-12-12,{'R': 2},2
s1901-113,s,"A bill to authorize the President to extend the term of the nuclear energy agreement with the Republic of Korea until March 19, 2016.",M000639,113,house,True,2014-01-28,2014-01-27,2014-02-04,{'R': 1},1
s2142-113,s,"A bill to impose targeted sanctions on persons responsible for violations of human rights of antigovernment protesters in Venezuela, to strengthen civil society in Venezuela, and for other purposes.",M000639,113,senate,True,2014-12-10,2014-12-08,2014-12-12,"{'R': 3, 'D': 1}",4
s1683-113,s,"A bill to provide for the transfer of naval vessels to certain foreign recipients, and for other purposes.",M000639,113,senate,True,2014-12-10,2014-12-04,2014-12-12,{'R': 2},2
s2828-113,s,"A bill to impose sanctions with respect to the Russian Federation, to provide additional assistance to Ukraine, and for other purposes.",M000639,113,senate,True,,2014-12-11,,"{'R': 8, 'D': 7}",14
sres547-113,sres,"A resolution designating the week beginning September 14, 2014, as National Hispanic-Serving Institutions Week.",M000639,113,senate,True,,2014-09-16,,"{'D': 20, 'R': 3}",23
sjres36-113,sjres,A joint resolution relating to the approval and implementation of the proposed agreement for nuclear cooperation between the United States and the Socialist Republic of Vietnam.,M000639,113,senate,True,,2014-07-31,,{'D': 2},2
sres476-113,sres,A resolution recognizing the 350th Anniversary of the founding of the State of New Jersey and honoring the valuable contributions of people of the Garden State.,M000639,113,senate,True,,2014-06-12,,{'D': 1},1
sres429-113,sres,"A resolution designating April 30, 2014, as ""Dia de los Ninos: Celebrating Young Americans"".",M000639,113,senate,True,,2014-04-29,,"{'D': 9, 'R': 1}",10
s579-113,s,"A bill to direct the Secretary of State to develop a strategy to obtain observer status for Taiwan at the triennial International Civil Aviation Organization Assembly, and for other purposes.",M000639,113,senate,True,,2013-06-19,,"{'R': 14, 'D': 8}",22
s1901-113,s,"A bill to authorize the President to extend the term of the nuclear energy agreement with the Republic of Korea until March 19, 2016.",M000639,113,senate,True,2014-01-28,2014-01-27,2014-02-04,{'R': 1},1
s1926-113,s,"A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.",M000639,113,senate,True,,2014-01-30,,"{'R': 8, 'D': 20}",28
sres213-113,sres,A resolution expressing support for the free and peaceful exercise of representative democracy in Venezuela and condemning violence and intimidation against the country's political opposition.,M000639,113,senate,True,,2013-10-04,,"{'R': 4, 'D': 4}",8
s793-113,s,"A bill to support revitalization and reform of the Organization of American States, and for other purposes.",M000639,113,senate,True,,2013-07-08,2013-09-26,"{'R': 2, 'D': 1}",3
sres246-113,sres,A resolution recognizing Hispanic Heritage Month and celebrating the heritage and culture of Latinos in the United States and the immense contributions of Latinos to the United States.,M000639,113,senate,True,,2013-09-19,,"{'D': 25, 'R': 4}",29
sres240-113,sres,"A resolution designating the week beginning September 15, 2013, as ""National Hispanic-Serving Institutions Week"".",M000639,113,senate,True,,2013-09-18,,"{'D': 15, 'R': 4}",19
sres161-113,sres,"A resolution relative to the death of the Honorable Frank R. Lautenberg, Senator from the State of New Jersey.",M000639,113,senate,True,,2013-06-04,,"{'D': 51, 'R': 45, 'I': 2}",98
sres125-113,sres,"A resolution designating April 30, 2013, as ""Dia de los Ninos: Celebrating Young Americans"".",M000639,113,senate,True,,2013-04-25,,"{'D': 5, 'R': 1}",6
sres84-113,sres,A resolution recognizing the 192nd anniversary of the independence of Greece and celebrating democracy in Greece and the United States.,M000639,113,senate,True,,2013-03-20,,"{'R': 8, 'D': 22}",30
