committee_id,chamber,chair_id
HSAG,House,C001062
HSAP,House,F000372
HSAS,House,T000238
HSBA,House,H001036
HSBU,House,W000809
HSED,House,F000450
HSFA,House,R000487
HSGO,House,G000566
HSHA,House,H001045
HSHM,House,M001157
HSIF,House,W000791
HSII,House,B001250
HLIG,,
HSJU,House,G000289
HSPW,House,S001154
HSRU,House,S000250
HSSM,House,C000266
HSSO,House,B001284
HSSY,House,S000583
HSVR,House,R000582
HSWM,House,B000755
JCSE,,
JSEC,,
JSLC,,
JSPR,,
JSTX,,
SCNC,Senate,G000386
SLET,Senate,I000055
SLIA,Senate,H001061
SLIN,Senate,B001135
SPAG,Senate,C001035
SSAF,Senate,R000307
SSAP,Senate,C000567
SSAS,Senate,M000303
SSBK,Senate,C000880
SSBU,Senate,E000285
SSCM,Senate,T000250
SSEG,Senate,M001153
SSEV,Senate,B001261
SSFI,Senate,H000338
SSFR,Senate,C001071
SSGA,Senate,J000293
SSHR,Senate,A000360
SSJU,Senate,G000386
SSRA,Senate,S000320
SSSB,Senate,R000584
SSVA,Senate,I000055
